,id,fullName,shortName,city,country,longitude,latitude
28,30,NCC,NCC,Colombo,Sri Lanka,,
29,31,Colts Cricket Ground,Colts Cricket Ground,Colombo,Sri Lanka,,
30,32,P. Sara,P. Sara,Colombo,Sri Lanka,,
31,33,R Premadasa Stadium,R Premadasa Stadium,Colombo,Sri Lanka,,
32,34,Mahinda Rajapaksa International Cricket Stadium,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,,
33,35,Pallekele International Cricket Stadium,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,,
34,36,Galle International Stadium,Galle International Stadium,Galle,Sri Lanka,,
35,37,Dubai International Stadium,Dubai International Stadium,Dubai,UAE,,
36,38,Emirates Riverside,Emirates Riverside,Chester-le-Street,England,,
37,39,Old Trafford,Old Trafford,Manchester,England,,
38,40,Edgbaston,Edgbaston,Birmingham,England,,
39,41,The Gabba,Brisbane Cricket Ground,Brisbane,Australia,,
40,42,Adelaide Oval,Adelaide Oval,Adelaide,Australia,,
41,43,WACA,WACA,Perth,Australia,,
42,44,Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium,Rajkot,India,,
43,45,Nehru Stadium,Nehru Stadium,Kochi,India,,
44,46,HEC International Cricket Stadium Complex,HEC International Cricket Stadium Complex,Ranchi,India,,
45,47,Docklands Stadium,Docklands Stadium,Melbourne,Australia,,
46,48,Sydney Cricket Ground,SCG,Sydney,Australia,,
47,50,Stadium Australia,Stadium Australia,Sydney,Australia,,
48,51,Melbourne Cricket Ground,MCG,Melbourne,Australia,,
49,52,Bellerive Oval,Bellerive Oval,Hobart,Australia,,
50,53,Boland Park,Boland Park,Paarl,South Africa,,
51,54,JB Marks Oval,JB Marks Oval,Potchefstroom,South Africa,,
52,55,JSCA International Cricket Stadium,JSCA Stadium,Ranchi,India,,
53,56,Middle Income Group Ground,Middle Income Group Ground,Mumbai,India,,
54,57,Bandra Kurla Complex,Bandra Kurla Complex,Mumbai,India,,
55,58,Manuka Oval,Manuka Oval,Canberra,Australia,,
56,59,Shaheed Veer Narayan Singh International Cricket Stadium,Shaheed Veer Narayan Singh International Cricket Stadium,Naya Raipur,India,,
57,60,Gymkhana Ground,Gymkhana Ground,Mumbai,India,,
58,61,DRIEMS Ground,DRIEMS Ground,Cuttack,India,,
59,62,Mangaung Oval,Mangaung Oval,Bloemfontein,South Africa,,
60,63,Willowmoore Park,Willowmoore Park,Benoni,South Africa,,
61,64,National Cricket Stadium,National Cricket Stadium,St George's,West Indies,,
62,65,Sir Vivian Richards Stadium,Sir Vivian Richards Stadium,North Sound,West Indies,,
63,66,Kensington Oval,Kensington Oval,Bridgetown,West Indies,,
64,67,Windsor Park,Windsor Park,Roseau,West Indies,,
65,68,Cardiff Wales Stadium,Cardiff Wales Stadium,Cardiff,Wales,,
66,69,The Oval,The Oval,London ,England,,
67,70,Trent Bridge,Trent Bridge,Nottingham,England,,
68,71,Lord's,Lord's Cricket Ground,London,England,0.0,0.0
69,72,The Ageas Bowl,The Ageas Bowl,Southampton,England,,
70,73,Headingley,Headingley,Leeds,England,,
71,74,Queens Sports Club,Queens Sports Club,Bulawayo,Zimbabwe,,
72,75,Grange Cricket Club Ground,Grange Cricket Club Ground,Edinburgh,Scotland,,
73,76,Clontarf Cricket Club Ground,Clontarf Cricket Club Ground,Dublin,Ireland,,
74,77,VRA Cricket Ground,VRA Cricket Ground,Amstelveen,Netherlands,,
75,78,Sabina Park,Sabina Park,Kingston,West Indies,,
76,79,Queen's Park Oval,Queen's Park Oval,Port of Spain,West Indies,,
77,81,Anglesea Road,Anglesea Road,Dublin,Ireland,,
78,82,The Oval,The Oval,London,England,,
79,84,Harare Sports Club,Harare Sports Club,Harare,Zimbabwe,,
80,85,Mannofield Park,Mannofield Park,Aberdeen,Scotland,,
81,86,Maple Leaf North-West Ground,MLN-W Ground,King City,Canada,,
82,87,Wanderers Cricket Ground,Wanderers Cricket Ground,Windhoek,Namibia,,
83,88,Sportpark Het Schootsveld,Sportpark Het Schootsveld,Deventer,Netherlands,,
84,89,Hagley Oval,Hagley Oval,Christchurch,New Zealand,,
85,90,Eden Park,Eden Park,Auckland,New Zealand,,
86,91,McLean Park,McLean Park,Napier,New Zealand,,
87,92,Wellington Regional Stadium,Wellington Regional Stadium,Wellington,New Zealand,,
88,93,Saxton Oval,Saxton Oval,Nelson,New Zealand,,
89,94,University Oval,University Oval,Dunedin,New Zealand,,
90,95,Seddon Park,Seddon Park,Hamilton,New Zealand,,
91,96,Bert Sutcliffe Oval,Bert Sutcliffe Oval,Christchurch,New Zealand,,
92,97,Blacktown Oval,Blacktown,Sydney,Australia,,
93,98,North Sydney Oval,North Sydney,Sydney,Australia,,
94,99,Providence Stadium,Providence Stadium,Providence,West Indies,,
95,100,Daren Sammy National Cricket Stadium,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,,
96,101,Arnos Vale Ground,Arnos Vale Ground,Kingstown,West Indies,,
97,102,Zayed Cricket Stadium,Zayed Cricket Stadium,Abu Dhabi,UAE,,
98,104,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Sharjah,UAE,,
99,105,FB Fields,FB Fields,St Clement,Jersey,,
0,106,Grainville,Grainville,St Saviour,Jersey,,
1,107,Les Quennevais,Les Quennevais,St Brelade,Jersey,,
2,108,Farmers Cricket Club Ground,Farmers Cricket Club Ground,St Martin,Jersey,,
3,109,The Vineyard,The Vineyard,Dublin,Ireland,,
4,110,YMCA Cricket Club,YMCA Cricket Club,Dublin,Ireland,,
5,112,Malahide,Malahide,Dublin,Ireland,,
6,113,Basin Reserve,Basin Reserve,Wellington,New Zealand,,
7,114,John Davies Oval,John Davies Oval,Queenstown,New Zealand,,
8,115,Westpac Stadium,Westpac Stadium,Wellington,New Zealand,,
9,116,ICC Academy Oval 1,ICC Academy Oval 1,Dubai,UAE,,
10,117,Civil Service Cricket Club,Civil Service Cricket Club,Belfast,Northern Ireland,,
11,118,Abu Dhabi Oval 1,Abu Dhabi Oval 1,Abu Dhabi,UAE,,
12,119,Abu Dhabi Oval 2,Abu Dhabi Oval 2,Abu Dhabi,UAE,,
13,120,ICC Academy Oval 2,ICC Academy Oval 2,Dubai,UAE,,
14,122,Zahur Ahmed Chowdhury Stadium,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,,
15,123,Sher-e-Bangla National Cricket Stadium,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,,
16,124,Khan Shaheb Osman Ali Stadium,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,,
17,125,Sylhet International Cricket Stadium,Sylhet International Cricket Stadium,Sylhet,Bangladesh,,
18,126,Rangiri Dambulla International Stadium,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,,
19,127,duplicate4,duplicate4,duplicate4,duplicate4,,
20,128,ICC Academy,ICC Academy,Dubai,UAE,,
21,129,Bangladesh Krira Shikkha Prothisthan,BKSP,Savar,Bangladesh,,
22,130,MA Aziz Stadium,MA Aziz Stadium,Chittagong,Bangladesh,,
23,131,Green Park,Green Park,Kanpur,India,,
24,132,Bay Oval,Bay Oval,Tauranga,New Zealand,,
25,133,Bay Oval 2,Bay Oval 2,Mount Maunganui,New Zealand,,
26,134,Pukekura Park,Pukekura Park,New Plymouth,New Zealand,,
27,135,Yarrow Stadium ,Yarrow Stadium ,New Plymouth,New Zealand,,
28,136,Dudley Park,Dudley Park,Rangiora,New Zealand,,
29,137,Rangiora Oval,Rangiora Oval,Rangiora,New Zealand,,
